|trigger_num|name       |t90     |t90_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|
|      05554|4B 960730- |  79.296|   18.497|7.6744e-07|     2.6185e-08|3.0239e-06|     7.5469e-08|
|      05482|4B 960601- | 253.280|    9.909|2.6621e-06|     1.1077e-07|7.1928e-06|     3.1754e-07|
|      03103|4B 940731  |  53.824|    0.973|6.1214e-07|     3.3425e-08|7.7891e-07|     8.6681e-08|
|      02751|4B 940111  |  20.544|    5.841|2.4752e-07|     2.2636e-08|7.0146e-07|     7.0498e-08|
|      01665|4B 920622- |   0.192|    0.091|1.5209e-08|     1.8638e-09|1.1957e-07|     6.7511e-09|
|      06413|GRB 971005 |   6.528|    0.091|4.9568e-07|     1.0936e-08|4.8240e-07|     2.9049e-08|
|      02430|4B 930705- |  28.096|    5.641|4.9371e-07|     2.0155e-08|1.1703e-06|     5.9035e-08|
|      02877|4B 940312- | 114.112|    1.088|3.6455e-06|     4.3701e-08|7.5932e-06|     1.1040e-07|
|      07607|GRB 990615 |  70.656|    0.453|1.9060e-06|     3.3871e-08|1.9300e-06|     7.6329e-08|
|      01709|4B 920718- |   3.456|    0.231|1.9735e-06|     1.7077e-08|5.1768e-06|     4.2104e-08|
|      02419|4B 930627  |  76.256|    7.177|2.8983e-07|     3.1372e-08|1.2306e-06|     7.6541e-08|
|      03652|4B 950628  |        |         |4.1708e-07|     5.5253e-08|1.1488e-06|     1.7155e-07|
|      02107|4B 921228- |        |         |          |               |          |               |
|      01646|4B 920613- | 129.024|    8.382|4.5802e-07|     3.2628e-08|1.0098e-06|     7.3317e-08|
|      06565|GRB 980109-|        |         |          |               |          |               |
|      03366|4B 950118- |        |         |2.6004e-06|     1.7984e-08|2.1850e-06|     3.4372e-08|
|      01544|4B 920408- |        |         |          |               |          |               |
|      02320|4B 930428  |   0.608|    0.041|1.4104e-07|     4.2788e-09|5.4185e-07|     1.1219e-08|
|      06361|GRB 970904 |   0.901|    0.302|8.8490e-09|     3.1825e-09|3.3528e-08|     9.1447e-09|
|      02448|4B 930719- |   0.768|    0.521|1.6290e-08|     3.5261e-09|1.7054e-07|     1.0178e-08|
|      02102|4B 921218  |  11.520|    0.792|4.6588e-07|     1.7279e-08|1.4046e-06|     4.4146e-08|
|      01996|4B 921022- |        |         |          |               |          |               |
